name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12.9345,77.6835",2025-06-17,81.2,69.7,74.5,82.7,69.7,74.7,66.3,77.2,0.004,100,4.17,rain,0,0,34.2,21.9,255.5,1010.5,80.4,9.4,252.6,21.7,9,10,2025-06-17T05:53:45,2025-06-17T18:46:51,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOBG,VOBL"
"12.9345,77.6835",2025-06-18,82.7,67.7,74.6,83.6,67.7,74.9,63.6,69.8,0.004,32.3,4.17,rain,0,0,33.8,19.2,260,1009.3,68.8,15,241.2,20.9,9,10,2025-06-18T05:53:56,2025-06-18T18:47:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"12.9345,77.6835",2025-06-19,83.9,67.9,75,84.1,67.9,75.1,63,68.3,0,32.3,0,,0,0,32.7,18.8,259.9,1009.5,92,15,257.5,22.2,9,10,2025-06-19T05:54:08,2025-06-19T18:47:19,0.75,Overcast,Cloudy skies throughout the day.,cloudy,
"12.9345,77.6835",2025-06-20,86.3,68.1,76,85.7,68.1,76.1,62.7,65.6,0,6.5,0,,0,0,31.1,19,262.8,1009.8,76.8,15,282.5,24.4,10,10,2025-06-20T05:54:20,2025-06-20T18:47:33,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"12.9345,77.6835",2025-06-21,86.4,68.4,76.2,85.7,68.4,76.2,61.7,63.1,0,19.4,0,,0,0,30.4,19.5,266.5,1009.7,62.3,15,281.3,24.3,10,10,2025-06-21T05:54:33,2025-06-21T18:47:46,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"12.9345,77.6835",2025-06-22,86.6,68.6,76.1,85.9,68.6,76.1,62.1,63.7,0.008,45.2,8.33,rain,0,0,32,20.8,268.7,1008.8,81.6,15,254.4,21.9,9,10,2025-06-22T05:54:46,2025-06-22T18:47:58,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
"12.9345,77.6835",2025-06-23,86.6,69.7,76.2,85.9,69.7,76.2,61.6,62.3,0,48.4,0,rain,0,0,32.9,22.4,267.6,1008.3,88.3,15,252.6,22.5,9,10,2025-06-23T05:55:00,2025-06-23T18:48:10,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"12.9345,77.6835",2025-06-24,80.3,69.9,74.6,81.4,69.9,74.7,62.5,66.8,0.066,41.9,12.5,rain,0,0,35.8,22.4,269.3,1008.4,97.8,14.4,165.3,14.4,6,10,2025-06-24T05:55:14,2025-06-24T18:48:22,0.96,Overcast,Cloudy skies throughout the day.,cloudy,
"12.9345,77.6835",2025-06-25,80.3,69.7,74.3,81.4,69.7,74.3,62.4,67.1,0.118,51.6,8.33,rain,0,0,35.1,21.7,268.5,1008.6,98.7,13.8,161,14,6,10,2025-06-25T05:55:28,2025-06-25T18:48:33,0,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
"12.9345,77.6835",2025-06-26,81.1,69.5,74.8,81.8,69.5,75,61.6,64.4,0.012,48.4,8.33,rain,0,0,36,22.4,270.1,1008.9,89.7,15,175.4,15.3,8,10,2025-06-26T05:55:43,2025-06-26T18:48:43,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
"12.9345,77.6835",2025-06-27,79.8,69,74.3,79.8,69,74.3,62.4,67.2,0.008,51.6,4.17,rain,0,0,34.9,22.8,271.3,1008.1,99.8,15,205.6,17.7,7,10,2025-06-27T05:55:58,2025-06-27T18:48:53,0.06,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
"12.9345,77.6835",2025-06-28,81.6,67.7,74,82.4,67.7,74.2,61.8,66.8,0.04,35.5,8.33,rain,0,0,36.5,23,263.4,1008,100,14.4,235.8,20.1,8,10,2025-06-28T05:56:13,2025-06-28T18:49:02,0.09,Overcast,Cloudy skies throughout the day.,cloudy,
"12.9345,77.6835",2025-06-29,82.7,67.2,74.9,82.8,67.2,75,60.8,63.2,0,48.4,0,rain,0,0,35.1,22.4,261.7,1008.3,46.2,15,255.3,22.2,8,10,2025-06-29T05:56:29,2025-06-29T18:49:10,0.12,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
"12.9345,77.6835",2025-06-30,83.6,68.1,75.5,83.7,68.1,75.6,61.1,62,0,32.3,0,,0,0,33.3,21.3,266.4,1009.5,62.1,15,262.9,22.8,9,10,2025-06-30T05:56:44,2025-06-30T18:49:18,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"12.9345,77.6835",2025-07-01,83,69,75.1,83.3,69,75.3,61.1,62.6,0,45.2,0,rain,0,0,33.6,20.8,270.8,1009.9,100,15,212.1,18.3,7,10,2025-07-01T05:57:00,2025-07-01T18:49:25,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
